count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WR;+WRG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
1;599;1357753449970;1;1471;8906;2;1525;1;0;1214;0;1;0;0;0;0;0;0;0;0;0
2;599;1357753573924;1;1471;8906;2;1525;0;-1;1856;1856;2;2;1;1;1;1;1;1;1;1
3;599;1357747025755;1;1471;8906;1;1525;2;1;1906;0;0;0;0;0;0;0;0;0;0;0
4;599;1357753504415;1;1471;8906;2;1525;1;-1;1512;1512;0;0;0;0;0;0;0;0;0;0
5;599;1357751447942;1;1471;8906;1;1525;0;-1;470;470;4;4;0;0;0;0;0;0;0;0
6;599;1357746805274;1;1471;8906;1;1525;2;1;1898;1;1;0;0;0;0;0;0;0;0;0
7;599;1357749979371;1;1471;8906;2;1525;0;-1;656;656;1;1;0;0;0;0;0;0;0;0
8;599;1357752378586;1;1471;8906;1;1525;4;2;1766;2;1;0;1;0;1;0;1;0;1;0
9;599;1357749147198;1;1471;8906;1;1525;2;-1;2053;2053;1;1;1;1;1;1;1;1;1;1
10;599;1357750740122;1;1471;8906;2;1525;2;1;1531;0;0;0;0;0;0;0;0;0;0;0
11;599;1357746722863;1;1471;8906;1;1525;0;-1;1276;1276;8;8;0;0;0;0;0;0;0;0
12;599;1357746225991;1;1471;8906;1;1525;7;3;818;2;0;0;0;0;0;0;0;0;0;0
13;599;1357751286137;1;1471;8906;2;1525;2;1;844;0;0;0;0;0;0;0;0;0;0;0
14;599;1357746333049;1;1471;8906;4;1525;19;9;4;0;0;0;0;0;0;0;0;0;0;0
15;599;1357745925221;1;1471;8906;2;1525;1;-1;1962;1962;1;1;1;1;1;1;1;1;1;1
16;599;1357752571142;1;1471;8906;1;1525;0;-1;1710;1710;8;8;4;4;0;0;0;0;4;4
17;599;1357749024789;1;1471;8906;1;1525;2;1;1383;0;0;0;0;0;0;0;0;0;0;0
18;599;1357752706475;1;1471;8906;2;1525;0;-1;441;441;1;1;0;0;0;0;0;0;0;0
19;599;1357751906915;1;1471;8906;2;1525;11;5;898;4;3;1;3;1;3;1;3;1;3;1
20;599;1357747464233;1;1471;8906;2;1525;9;4;1456;6;7;4;6;3;6;3;6;3;6;3
21;599;1357749475505;1;1471;8906;2;1525;0;-1;1216;1216;1;1;0;0;0;0;0;0;0;0
22;599;1357746198693;1;1471;8906;3;1525;7;3;1214;3;11;0;0;0;0;0;0;0;0;0
23;599;1357749897218;1;1471;8906;1;1525;3;1;811;1;4;0;2;0;2;0;2;0;2;0
24;599;1357750340322;1;1471;8906;2;1525;2;1;522;0;0;0;0;0;0;0;0;0;0;0
25;599;1357750957949;1;1471;8906;1;1525;5;2;704;1;3;3;3;3;3;3;3;3;3;3
26;599;1357748395615;1;1471;8906;2;1525;0;-1;1597;1597;1;1;0;0;0;0;0;0;0;0
27;599;1357750532920;1;1471;8906;2;1525;1;-1;2002;2002;0;0;0;0;0;0;0;0;0;0
28;599;1357752516652;1;1471;8906;1;1525;2;-1;1955;1955;3;3;1;1;1;1;1;1;1;1
29;599;1357748859100;1;1471;8906;1;1525;2;1;88;0;0;0;0;0;0;0;0;0;0;0
30;599;1357752230333;1;1471;8906;1;1525;1;-1;709;709;0;0;0;0;0;0;0;0;0;0
31;599;1357748051755;1;1471;8906;2;1525;3;1;844;2;7;0;1;0;1;0;1;0;1;0
32;599;1357753340733;1;1471;8906;1;1525;0;-1;574;574;1;1;0;0;0;0;0;0;0;0
33;599;1357750891223;1;1471;8906;2;1525;0;-1;526;526;0;0;0;0;0;0;0;0;0;0
34;599;1357752433153;1;1471;8906;1;1525;3;1;476;0;0;0;0;0;0;0;0;0;0;0
35;599;1357745841354;1;1471;8906;2;1525;14;7;1798;12;6;1;6;1;6;1;6;1;6;1
36;599;1357751420361;1;1471;8906;2;1525;21;10;1704;11;1;0;0;0;0;0;0;0;0;0
37;599;1357747176807;1;1471;8906;1;1525;1;-1;817;817;0;0;0;0;0;0;0;0;0;0
38;599;1357752996967;1;1471;8906;1;1525;1;-1;772;772;0;0;0;0;0;0;0;0;0;0
39;599;1357752475928;1;1471;8906;1;1525;1;0;939;0;1;0;1;0;0;0;0;0;1;0
40;599;1357748202000;1;1471;8906;1;1525;1;0;979;0;2;0;0;0;0;0;0;0;0;0
41;599;1357748408880;1;1471;8906;1;1525;2;1;1118;0;0;0;0;0;0;0;0;0;0;0
42;599;1357750823394;1;1471;8906;2;1525;1;0;610;0;0;0;0;0;0;0;0;0;0;0
43;599;1357751300087;1;1471;8906;2;1525;5;2;797;1;9;2;9;2;9;2;9;2;9;2
44;599;1357751476690;1;1471;8906;1;1525;2;-1;1288;1288;0;0;0;0;0;0;0;0;0;0
45;599;1357751697854;1;1471;8906;2;1525;1;-1;1015;1015;0;0;0;0;0;0;0;0;0;0
46;599;1357753863015;1;1471;8906;1;1525;0;-1;818;818;4;4;0;0;0;0;0;0;0;0
47;599;1357749173586;1;1471;8906;2;1525;1;-1;1617;1617;1;1;1;1;1;1;1;1;1;1
48;599;1357746656459;1;1471;8906;2;1525;1;-1;1723;1723;9;9;0;0;0;0;0;0;0;0
49;599;1357753836141;1;1471;8906;1;1525;0;-1;1077;1077;0;0;0;0;0;0;0;0;0;0
50;599;1357745827013;1;1471;8906;1;1525;1;0;523;0;1;0;1;0;0;0;0;0;1;0
51;599;1357747477200;1;1471;8906;1;1525;0;-1;1489;1489;1;1;0;0;0;0;0;0;0;0
52;599;1357749924666;1;1471;8906;1;1525;0;-1;520;520;2;2;0;0;0;0;0;0;0;0
53;599;1357752027494;1;1471;8906;1;1525;14;7;582;3;6;1;6;1;6;1;6;1;6;1
54;599;1357753464186;1;1471;8906;2;1525;0;-1;1417;1417;11;11;3;3;0;0;0;0;2;2
55;599;1357746832515;1;1471;8906;2;1525;9;4;12;0;2;1;2;1;2;1;2;1;2;1
56;599;1357747968834;1;1471;8906;2;1525;2;1;1200;0;0;0;0;0;0;0;0;0;0;0
57;599;1357750699538;1;1471;8906;2;1525;21;-1;1332;1332;1;1;0;0;0;0;0;0;0;0
58;599;1357751327277;1;1471;8906;2;1525;0;-1;315;315;0;0;0;0;0;0;0;0;0;0
59;599;1357752651651;1;1471;8906;1;1525;1;0;1162;0;1;0;0;0;0;0;0;0;0;0
60;599;1357751879219;2;1471;8906;1;1556;4;2;722;1;1;1;1;1;1;1;1;1;1;1
61;599;1357747339826;2;1471;8906;2;1556;1;-1;2069;2069;0;0;0;0;0;0;0;0;0;0
62;599;1357753009962;2;1471;8906;1;1556;1;-1;645;645;0;0;0;0;0;0;0;0;0;0
63;599;1357751518350;2;1471;8906;2;1556;2;1;87;0;0;0;0;0;0;0;0;0;0;0
64;599;1357747531852;2;1471;8906;2;1556;2;1;189;0;0;0;0;0;0;0;0;0;0;0
65;599;1357753076551;2;1471;8906;1;1556;0;-1;1189;1189;1;1;0;0;0;0;0;0;0;0
66;599;1357749882744;2;1471;8906;1;1556;1;-1;1659;1659;1;1;1;1;1;1;1;1;1;1
67;599;1357752940752;2;1471;8906;2;1556;0;-1;323;323;1;1;0;0;0;0;0;0;0;0
68;599;1357753285352;2;1471;8906;1;1556;10;5;77;0;1;0;0;0;0;0;0;0;0;0
69;599;1357753216368;2;1471;8906;1;1556;2;-1;400;400;0;0;0;0;0;0;0;0;0;0
70;599;1357751353254;2;1471;8906;2;1556;7;3;1431;5;3;1;2;1;2;1;2;1;2;1
71;599;1357748844711;2;1471;8906;1;1556;13;6;316;2;3;1;3;1;3;1;3;1;3;1
72;599;1357747954233;2;1471;8906;1;1556;3;1;1897;1;0;0;0;0;0;0;0;0;0;0
73;599;1357751504474;2;1471;8906;4;1556;0;-1;1470;1470;2;2;0;0;0;0;0;0;0;0
74;599;1357748723833;2;1471;8906;2;1556;3;1;1972;1;0;0;0;0;0;0;0;0;0;0
75;599;1357750863418;2;1471;8906;1;1556;3;1;1031;0;1;1;1;1;1;1;1;1;1;1
76;599;1357745868477;2;1471;8906;2;1556;7;3;1227;3;1;1;1;1;1;1;1;1;1;1
77;599;1357751852216;2;1471;8906;1;1556;2;1;916;0;0;0;0;0;0;0;0;0;0;0
78;599;1357749692063;2;1471;8906;4;1556;27;13;212;3;2;0;0;0;0;0;0;0;0;0
79;599;1357753174941;2;1471;8906;2;1556;4;2;2053;2;2;0;2;0;2;0;2;0;2;0
80;599;1357751434147;2;1471;8906;2;1556;3;1;1368;1;0;0;0;0;0;0;0;0;0;0
81;599;1357747557700;2;1471;8906;2;1556;19;9;1989;17;1;1;1;1;1;1;1;1;1;1
82;599;1357753601390;2;1471;8906;2;1556;1;-1;194;194;4;4;4;4;4;4;4;4;4;4
83;599;1357747996325;2;1471;8906;1;1556;7;3;1787;6;1;1;1;1;1;1;1;1;1;1
84;599;1357752257962;2;1471;8906;1;1556;1;0;1930;0;1;0;0;0;0;0;0;0;0;0
85;599;1357746305410;2;1471;8906;1;1556;5;2;815;1;0;0;0;0;0;0;0;0;0;0
86;599;1357753684614;2;1471;8906;2;1556;1;-1;1395;1395;0;0;0;0;0;0;0;0;0;0
87;599;1357750271556;2;1471;8906;1;1556;0;-1;444;444;20;20;13;13;1039;1039;10;10;15;15
88;599;1357751769326;2;1471;8906;2;1556;1;-1;1271;1271;0;0;0;0;0;0;0;0;0;0
89;599;1357750781719;2;1471;8906;1;1556;2;1;75;0;1;0;0;0;0;0;0;0;0;0
90;599;1357747544615;2;1471;8906;2;1556;3;1;1271;1;5;0;1;0;1;0;1;0;1;0
91;599;1357746708850;2;1471;8906;1;1556;13;6;1236;4;0;0;0;0;0;0;0;0;0;0
92;599;1357749624584;2;1471;8906;1;1556;1;-1;1036;1036;0;0;0;0;0;0;0;0;0;0
93;599;1357751013615;2;1471;8906;1;1556;1;-1;1011;1011;0;0;0;0;0;0;0;0;0;0
94;599;1357753063615;2;1471;8906;2;1556;12;6;1666;6;3;0;3;0;3;0;3;0;3;0
95;599;1357752543830;2;1471;8906;2;1556;15;7;1027;11;6;1;6;1;6;1;6;1;6;1
96;599;1357748133766;2;1471;8906;1;1556;1;-1;1836;1836;0;0;0;0;0;0;0;0;0;0
97;599;1357747750551;2;1471;8906;2;1556;0;-1;1535;1535;1;1;0;0;0;0;0;0;0;0
98;599;1357753159900;2;1471;8906;1;1556;2;1;26;0;0;0;0;0;0;0;0;0;0;0
99;599;1357748091619;2;1471;8906;2;1556;1;0;947;0;0;0;0;0;0;0;0;0;0;0
100;599;1357751602339;2;1471;8906;2;1556;1;-1;356;356;0;0;0;0;0;0;0;0;0;0
101;599;1357753243928;2;1471;8906;1;1556;2;1;1168;0;0;0;0;0;0;0;0;0;0;0
102;599;1357749462062;2;1471;8906;2;1556;1;-1;1513;1513;0;0;0;0;0;0;0;0;0;0
103;599;1357747381541;2;1471;8906;1;1556;2;1;13;0;0;0;0;0;0;0;0;0;0;0
104;599;1357752598599;2;1471;8906;2;1556;6;3;571;0;1;1;1;1;1;1;1;1;1;1
105;599;1357752055062;2;1471;8906;1;1556;2;-1;397;397;2;2;2;2;2;2;2;2;2;2
106;599;1357750808867;2;1471;8906;2;1556;0;-1;252;252;1;1;0;0;0;0;0;0;0;0
107;599;1357753229379;2;1471;8906;1;1556;8;4;1435;4;17;5;17;5;16;5;16;5;16;5
108;599;1357746777760;2;1471;8906;2;1556;1;-1;50;50;0;0;0;0;0;0;0;0;0;0
109;599;1357747245029;2;1471;8906;1;1556;2;1;1709;0;2;0;0;0;0;0;0;0;0;0
110;599;1357748078193;2;1471;8906;21;1556;22;11;897;12;49;1;0;0;0;0;0;0;0;0
111;599;1357745965343;2;1471;8906;2;1556;1;-1;996;996;0;0;0;0;0;0;0;0;0;0
112;599;1357750795327;2;1471;8906;1;1556;1;-1;560;560;1;1;1;1;1;1;1;1;1;1
113;599;1357753271169;2;1471;8906;2;1556;1;-1;911;911;0;0;0;0;0;0;0;0;0;0
114;599;1357747570791;2;1471;8906;1;1556;1;-1;36;36;1;1;1;1;1;1;1;1;1;1
115;599;1357749705671;2;1471;8906;1;1556;6;3;1629;3;0;0;0;0;0;0;0;0;0;0
116;599;1357746521502;2;1471;8906;4;1556;6;3;1737;4;10;1;2;1;2;1;2;1;2;1
117;599;1357751795417;2;1471;8906;2;1556;1;-1;110;110;1;1;1;1;1;1;1;1;1;1
118;599;1357751137134;2;1471;8906;2;1556;2;1;493;0;0;0;0;0;0;0;0;0;0;0
119;599;1357750602686;3;1471;8906;2;1568;1;0;943;0;1;0;0;0;0;0;0;0;0;0
